preco,condominio,tamanho_m2,quartos,banheiros,vagas,bairro
285000,0,75.0,2.0,2.0,2.0,pedra de guaratiba
8000000,3500,420.0,4.0,4.0,2.0,copacabana
4200000,1800,430.0,5.0,4.0,4.0,itanhangá
510000,850,74.0,2.0,3.0,1.0,freguesia
895000,820,85.0,2.0,2.0,1.0,laranjeiras
275000,350,50.0,2.0,1.0,1.0,jacarepaguá
600000,850,79.0,3.0,2.0,1.0,jacarepaguá
790000,1140,62.0,2.0,2.0,1.0,barra da tijuca
59900,70,35.0,1.0,1.0,1.0,jacarepaguá
570000,1200,75.0,2.0,2.0,2.0,barra da tijuca
529000,720,83.0,2.0,2.0,1.0,maracanã
850000,1225,150.0,5.0,4.0,3.0,vila da penha
1150000,1000,70.0,2.0,3.0,1.0,copacabana
390000,0,90.0,3.0,2.0,2.0,bangu
2149999,1450,178.0,3.0,4.0,2.0,barra da tijuca
3950000,4190,235.0,3.0,3.0,2.0,ipanema
999900,809,110.0,3.0,2.0,1.0,botafogo
850000,0,300.0,4.0,2.0,2.0,vila da penha
2900000,2300,225.0,2.0,3.0,3.0,barra da tijuca
3750000,1200,105.0,3.0,3.0,1.0,ipanema
2980000,1800,159.0,3.0,3.0,2.0,botafogo
600000,0,120.0,3.0,3.0,1.0,tijuca
1499000,1000,100.0,3.0,3.0,2.0,botafogo
225000,100,100.0,3.0,3.0,1.0,guaratiba
400000,260,150.0,3.0,3.0,2.0,tanque
292000,750,64.0,2.0,2.0,1.0,freguesia
799000,0,287.0,5.0,4.0,3.0,taquara
1100000,790,130.0,2.0,2.0,2.0,tijuca
1100000,2000,110.0,2.0,4.0,2.0,laranjeiras
240000,500,52.0,2.0,2.0,1.0,jacarepaguá
5990000,4600,200.0,4.0,3.0,4.0,barra da tijuca
750000,702,53.0,1.0,1.0,1.0,laranjeiras
510000,750,71.0,2.0,2.0,1.0,freguesia
980000,1600,114.0,2.0,2.0,2.0,copacabana
860000,1400,130.0,3.0,3.0,1.0,laranjeiras
550000,1100,150.0,2.0,2.0,2.0,anil
395000,750,66.0,2.0,2.0,1.0,cachambi
450000,780,65.0,3.0,2.0,1.0,andaraí
1600000,2300,200.0,4.0,3.0,3.0,itanhangá
480000,417,95.0,3.0,3.0,2.0,vila kosmos
1149000,1490,192.0,4.0,6.0,2.0,recreio dos bandeirantes
270000,790,80.0,2.0,2.0,1.0,sampaio
8000000,2900,178.0,3.0,6.0,2.0,leblon
795000,1640,106.0,3.0,2.0,2.0,andaraí
6180000,3400,325.0,4.0,6.0,4.0,barra da tijuca
1400000,1600,161.0,3.0,3.0,4.0,barra da tijuca
3250000,1360,115.0,3.0,3.0,1.0,leblon
1100000,200,300.0,5.0,5.0,2.0,portuguesa
1250000,850,250.0,4.0,3.0,1.0,rio comprido
460000,1008,85.0,3.0,3.0,1.0,todos os santos
870000,530,216.0,3.0,4.0,2.0,campo grande
830000,1300,121.0,3.0,3.0,2.0,recreio dos bandeirantes
1690000,1600,590.0,4.0,4.0,3.0,andaraí
1100000,0,120.0,4.0,4.0,2.0,campinho
1100000,1667,186.0,3.0,3.0,2.0,tijuca
280000,40,126.0,2.0,2.0,1.0,colégio
2000000,3200,85.0,2.0,2.0,1.0,ipanema
450000,0,152.0,2.0,3.0,1.0,sampaio
890000,900,96.0,3.0,2.0,1.0,tijuca
2850000,3200,157.0,2.0,3.0,2.0,barra da tijuca
680000,0,127.0,2.0,2.0,1.0,praça da bandeira
900000,1350,84.0,3.0,3.0,1.0,catete
580000,150,140.0,3.0,4.0,1.0,taquara
1250000,0,650.0,4.0,3.0,4.0,itanhangá
559000,700,80.0,3.0,3.0,2.0,freguesia
370000,250,67.0,2.0,2.0,1.0,vila da penha
280000,0,120.0,3.0,3.0,1.0,santa cruz
6845000,0,315.0,4.0,4.0,4.0,lagoa
299000,250,71.0,3.0,2.0,1.0,penha circular
1160000,1500,89.0,2.0,3.0,1.0,barra da tijuca
195000,480,45.0,1.0,2.0,1.0,engenho novo
900000,711,180.0,4.0,5.0,3.0,jardim guanabara
430000,1034,180.0,3.0,2.0,1.0,grajaú
560000,675,100.0,3.0,2.0,1.0,tijuca
1850000,1768,92.0,3.0,2.0,1.0,laranjeiras
670000,850,95.0,2.0,2.0,1.0,tijuca
390000,500,60.0,2.0,2.0,1.0,anil
360000,575,92.0,2.0,3.0,1.0,pechincha
304000,0,99.0,3.0,2.0,1.0,pedra de guaratiba
620000,200,95.0,3.0,3.0,1.0,pechincha
325000,0,70.0,2.0,1.0,3.0,campo grande
300000,1000,67.0,2.0,2.0,1.0,tijuca
1050000,1300,167.0,4.0,2.0,1.0,tijuca
2300000,3000,298.0,4.0,4.0,4.0,copacabana
395000,850,112.0,3.0,3.0,2.0,pechincha
3000000,500,600.0,4.0,3.0,2.0,recreio dos bandeirantes
400000,0,126.0,4.0,2.0,2.0,ricardo de albuquerque
980000,1200,103.0,3.0,1.0,1.0,flamengo
255000,540,65.0,3.0,2.0,1.0,pechincha
3500000,1700,210.0,3.0,5.0,2.0,lagoa
540000,1300,57.0,1.0,1.0,1.0,copacabana
1500000,1300,86.0,2.0,2.0,1.0,gávea
525000,930,70.0,2.0,2.0,1.0,recreio dos bandeirantes
1035000,1380,107.0,3.0,3.0,1.0,laranjeiras
1350000,3165,170.0,4.0,4.0,1.0,copacabana
1700000,0,500.0,4.0,5.0,4.0,cosme velho
550000,900,73.0,2.0,3.0,1.0,recreio dos bandeirantes
1420000,500,270.0,5.0,5.0,2.0,vargem pequena
770000,990,60.0,2.0,2.0,1.0,barra da tijuca
850000,1430,114.0,3.0,2.0,1.0,são conrado
400000,450,60.0,2.0,2.0,1.0,tanque
1690000,1070,118.0,3.0,3.0,1.0,jardim botânico
300000,735,86.0,3.0,2.0,1.0,praça seca
1300000,1700,220.0,3.0,3.0,2.0,tijuca
680000,0,131.0,3.0,3.0,2.0,recreio dos bandeirantes
1350000,1500,180.0,4.0,3.0,1.0,gávea
6900000,5000,327.0,4.0,6.0,3.0,leblon
1890000,1950,133.0,3.0,3.0,1.0,gávea
660000,1100,71.0,1.0,1.0,1.0,barra da tijuca
350000,40,60.0,2.0,2.0,2.0,riachuelo
850000,775,67.0,1.0,2.0,1.0,botafogo
930000,1100,190.0,3.0,4.0,3.0,recreio dos bandeirantes
160000,260,63.0,2.0,1.0,1.0,guaratiba
1680000,1300,180.0,4.0,4.0,2.0,tijuca
470000,950,67.0,2.0,2.0,1.0,vila isabel
1700000,1000,120.0,3.0,3.0,1.0,ipanema
1200000,0,562.0,5.0,6.0,4.0,jardim guanabara
580000,0,24.0,1.0,1.0,1.0,botafogo
1050000,1080,144.0,3.0,3.0,2.0,grajaú
1200000,0,296.0,3.0,4.0,2.0,freguesia
345000,675,90.0,2.0,2.0,1.0,freguesia
4950000,2200,180.0,3.0,4.0,2.0,leblon
4995000,1950,400.0,4.0,6.0,4.0,itanhangá
2000000,1250,106.0,3.0,2.0,1.0,ipanema
250000,345,54.0,2.0,1.0,1.0,vila isabel
750000,900,430.0,4.0,3.0,2.0,olaria
345000,0,70.0,2.0,2.0,1.0,taquara
720000,700,63.0,2.0,2.0,1.0,centro
550000,190,180.0,4.0,4.0,2.0,vargem grande
249000,735,61.0,2.0,2.0,1.0,méier
170000,375,55.0,1.0,1.0,1.0,penha
1195000,1050,73.0,2.0,1.0,1.0,jardim botânico
920000,350,267.0,4.0,5.0,4.0,freguesia
2780000,600,300.0,4.0,6.0,3.0,freguesia
1895000,0,500.0,4.0,4.0,2.0,penha
2042000,1855,128.0,2.0,3.0,2.0,barra da tijuca
1500000,1180,130.0,3.0,3.0,2.0,laranjeiras
330000,630,76.0,3.0,2.0,1.0,pechincha
4200000,0,593.0,4.0,4.0,4.0,barra da tijuca
1250000,0,36.0,1.0,1.0,1.0,copacabana
265000,549,84.0,2.0,1.0,1.0,praça seca
1350000,1536,385.0,4.0,6.0,2.0,recreio dos bandeirantes
700000,2644,72.0,3.0,2.0,1.0,copacabana
290000,560,90.0,2.0,1.0,1.0,bonsucesso
3200000,1000,600.0,4.0,4.0,4.0,barra da tijuca
755000,1504,59.0,1.0,1.0,1.0,barra da tijuca
370000,160,86.0,3.0,2.0,1.0,guaratiba
680000,1100,110.0,3.0,3.0,2.0,méier
5600000,3431,490.0,4.0,4.0,2.0,flamengo
1100000,1200,183.0,4.0,4.0,3.0,recreio dos bandeirantes
1150000,1220,164.0,3.0,3.0,1.0,tijuca
2700000,1900,160.0,4.0,2.0,2.0,barra da tijuca
