endereco,preco,condominio,tamanho_m2,quartos,banheiros,vagas
"Rua Barão de Mesquita, 3 14 - Tijuca, Rio de Janeiro - RJ",590.000,800,"
                67
              ","2
","2
","1
"
"Avenida Raymundo Magalhães Júnior, 300 - Barra da Tijuca, Rio de Janeiro - RJ",900.000,1.446,"
                100
              ","2
","3
","2
"
"Rua Professor Gabizo, 35 - Tijuca, Rio de Janeiro - RJ",795.000,900,"
                95
              ","3
","3
","1
"
"Rua Doutor Satamini, 75 - Tijuca, Rio de Janeiro - RJ",900.000,1.600,"
                144
              ","3
","2
","1
"
"Rua Prudente de Morais, 524 - Ipanema, Rio de Janeiro - RJ",2.790.000,2.880,"
                157
              ","3
","3
","1
"
"Rua Athos Bulcão, 13 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",930.000,,"
                315
              ","3
","4
","1
"
"Rua do Russel, 426 - Glória, Rio de Janeiro - RJ",595.000,,"
                35
              ","1
","1
","--
"
"Rocha Miranda, Rio de Janeiro - RJ",320.000,,"
                200
              ","4
","3
","2
"
"Rua J. Carlos - Jardim Botânico, Rio de Janeiro - RJ",1.790.000,1.800,"
                105
              ","3
","3
","1
"
"Avenida Comandante Júlio de Moura, 846 - Barra da Tijuca, Rio de Janeiro - RJ",2.300.000,2.300,"
                283
              ","4
","5
","3
"
"Rua Jornalista Henrique Cordeiro, 30 - Barra da Tijuca, Rio de Janeiro - RJ",1.100.000,1.050,"
                99
              ","2
","2
","1
"
"Rua Galvani, 291 - Vila da Penha, Rio de Janeiro - RJ",275.000,343,"
                60
              ","2
","1
","--
"
"Rua Jornalista Henrique Cordeiro, 120 - Barra da Tijuca, Rio de Janeiro - RJ",1.500.000,1.720,"
                140
              ","4
","3
","2
"
"Rua do Russel, 426 - Glória, Rio de Janeiro - RJ",794.000,,"
                44
              ","1
","1
","--
"
"Rua São Luiz Gonzaga, 655 - São Cristóvão, Rio de Janeiro - RJ",300.000,550,"
                51
              ","2
","1
","1
"
"Rua Cupertino Durão, 152 - Leblon, Rio de Janeiro - RJ",9.500.000,3.900,"
                380
              ","4
","5
","3
"
"Rua General Roca, 1 - Tijuca, Rio de Janeiro - RJ",150.000,,"
                96
              ","3
","2
","--
"
"Avenida Afonso Arinos de Melo Franco, 191 - Barra da Tijuca, Rio de Janeiro - RJ",830.000,1.100,"
                75
              ","2
","3
","1
"
"Rua Marechal Pires Ferreira, 61 - Cosme Velho, Rio de Janeiro - RJ",2.650.000,1.900,"
                368
              ","4
","7
","4
"
"Rua Tenente Franca, 71 - Cachambi, Rio de Janeiro - RJ",395.000,750,"
                66
              ","2
","2
","1
"
"Rua do Russel, 426 - Glória, Rio de Janeiro - RJ",516.000,,"
                34
              ","1
","1
","--
"
"Avenida Gilka Machado, 950 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",850.000,800,"
                250
              ","3
","6
","3
"
"Avenida Genaro de Carvalho, 2380 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",620.000,675,"
                115
              ","3
","3
","1
"
"Rua Atininga, 626 - Taquara, Rio de Janeiro - RJ",315.000,150,"
                105
              ","4
","2
","1
"
"Rua Massâpe, 91 - Santa Cruz, Rio de Janeiro - RJ",289.000,,"
                130
              ","3
","4
","1
"
"Estrada da Água Grande, 221 - Irajá, Rio de Janeiro - RJ",380.000,600,"
                70
              ","3
","2
","1
"
"Grajaú, Rio de Janeiro - RJ",500.000,850,"
                110
              ","3
","3
","1
"
"Rua do Russel, 426 - Glória, Rio de Janeiro - RJ",740.000,,"
                56
              ","1
","1
","--
"
