endereco,preco,condominio,tamanho_m2,quartos,banheiros,vagas
"Avenida Salvador Allende, 6300 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",530.000,950,"
                76
              ","3
","3
","2
"
"Estrada do Tindiba, 979 - Jacarepaguá, Rio de Janeiro - RJ",410.000,770,"
                77
              ","2
","2
","1
"
"Rua Marlo da Costa e Souza, 135 - Barra da Tijuca, Rio de Janeiro - RJ",950.000,1.770,"
                177
              ","3
","2
","2
"
"Rua Joaquim Meier - Lins de Vasconcelos, Rio de Janeiro - RJ","650
",600,"
                60
              ","2
","1
","1
"
"Rua Dezoito de Outubro, 368 - Tijuca, Rio de Janeiro - RJ",640.000,900,"
                115
              ","3
","4
","2
"
"Rua Manicaria - Curicica, Rio de Janeiro - RJ",265.000,300,"
                66
              ","2
","1
","1
"
"Rua Coelho Neto - Laranjeiras, Rio de Janeiro - RJ",1.500.000,1.900,"
                140
              ","2
","4
","2
"
"Rua Água Comprida -  Vila Valqueire, Rio de Janeiro - RJ",325.000,350,"
                81
              ","2
","3
","1
"
"Rua Le Corbusier - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",560.000,960,"
                75
              ","3
","2
","3
"
"Rua Comendador Siqueira, 1994 - Pechincha, Rio de Janeiro - RJ",470.000,330,"
                106
              ","2
","3
","1
"
"Rua Conde Bernadotte - Leblon, Rio de Janeiro - RJ",1.850.000,1.600,"
                90
              ","2
","3
","1
"
"Estrada dos Bandeirantes, 7025 - Jacarepaguá, Rio de Janeiro - RJ",350.000,700,"
                68
              ","3
","3
","1
"
"Rua Prudente de Morais - Ipanema, Rio de Janeiro - RJ",2.600.000,2.000,"
                180
              ","3
","3
","--
"
"Estrada Coronel Pedro Corrêa, 140 - Jacarepaguá, Rio de Janeiro - RJ",1.380.000,1.500,"
                164
              ","4
","3
","2
"
"Barra da Tijuca, Rio de Janeiro - RJ",8.900.000,,"
                1100
              ","4
","5
","4
"
"Rua Prudente de Morais - Ipanema, Rio de Janeiro - RJ",2.190.000,2.840,"
                187
              ","3
","3
","1
"
"Estrada da Gávea - São Conrado, Rio de Janeiro - RJ",1.390.000,2.200,"
                180
              ","4
","3
","2
"
"Avenida Cláudio Besserman Vianna, 3 - Jacarepaguá, Rio de Janeiro - RJ",600.000,1.550,"
                114
              ","3
","4
","1
"
"Avenida Salvador Allende, 6000 - Jacarepaguá, Rio de Janeiro - RJ",525.000,800,"
                69
              ","2
","2
","1
"
"Avenida Prefeito Dulcídio Cardoso, 2920 - Barra da Tijuca, Rio de Janeiro - RJ",790.000,1.321,"
                81
              ","2
","2
","1
"
"Copacabana, Rio de Janeiro - RJ",4.000.000,2.900,"
                236
              ","4
","2
","2
"
"Rua Alfredo Ceschiatti, 155 - Barra da Tijuca, Rio de Janeiro - RJ",615.000,1.340,"
                87
              ","3
","3
","1
"
"Rua Vice-Governador Rúbens Berardo, 175 - Gávea, Rio de Janeiro - RJ",2.980.000,2.200,"
                153
              ","3
","4
","2
"
"Rua Jacarandás da Península, 1000 - Barra da Tijuca, Rio de Janeiro - RJ",2.300.000,2.600,"
                220
              ","4
","6
","3
"
"Estrada do Pontal - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",2.650.000,200,"
                750
              ","4
","5
","4
"
"Rua Caiena, 46 - Bento Ribeiro, Rio de Janeiro - RJ",398.000,,"
                160
              ","4
","3
","1
"
"Avenida das Américas, 40 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",970.000,680.000,"
                190
              ","4
","5
","--
"
"Praça Saenz Peña - Tijuca, Rio de Janeiro - RJ",650.000,1.469,"
                102
              ","3
","2
","--
"
"Rua Sargento João Lópes - Jardim Carioca, Rio de Janeiro - RJ","1.500
",268,"
                50
              ","1
","1
","1
"
"Rua Clementina de Jesus, 257 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",299.000,510,"
                50
              ","2
","2
","1
"
"Freguesia- Jacarepaguá, Rio de Janeiro - RJ",440.000,870,"
                70
              ","2
","2
","1
"
"Avenida Nossa Senhora de Copacabana - Copacabana, Rio de Janeiro - RJ",529.000,390,"
                46
              ","1
","1
","46
"
"Estrada Coronel Pedro Corrêa, 140 - Jacarepaguá, Rio de Janeiro - RJ",1.210.000,20,"
                163
              ","3
","3
","2
"
"Rua Monte Alegre, 181 - Santa Teresa, Rio de Janeiro - RJ",230.000,380,"
                60
              ","2
","1
","--
"
"Estrada dos Bandeirantes, 7277 - Jacarepaguá, Rio de Janeiro - RJ",255.000,450,"
                48
              ","2
","1
","1
"
"Rua Grão de Areia, 268 - Jardim Guanabara, Rio de Janeiro - RJ",1.240.000,,"
                474
              ","5
","4
","3
"
"Rua Maria Angélica - Jardim Botânico, Rio de Janeiro - RJ",1.700.000,1.280,"
                100
              ","3
","3
","2
"
"Rua Dona Claudina, 0 - Méier, Rio de Janeiro - RJ",990.000,,"
                130
              ","3
","3
","2
"
"Rua Correa Dutra - Flamengo, Rio de Janeiro - RJ",380.000,550,"
                40
              ","2
","1
","--
"
"Rua Mário Agostinelli, 150 - Barra da Tijuca, Rio de Janeiro - RJ",820.000,1.600,"
                101
              ","4
","3
","1
"
"Rua Sacopa - Lagoa, Rio de Janeiro - RJ",1.900.000,2.797,"
                147
              ","3
","3
","2
"
"Rua Marquês de Olinda, 78 - Botafogo, Rio de Janeiro - RJ",827.000,869,"
                87
              ","2
","1
","1
"
"Rua Domingos Ferreira, 170 - Copacabana, Rio de Janeiro - RJ","5.000
",1.900,"
                200
              ","3
","2
","5
"
"Rua Barão de Itapagipe - Tijuca, Rio de Janeiro - RJ",450.000,970,"
                105
              ","3
","2
","1
"
"Rua Alfredo Ceschiatti, 55 - Jacarepaguá, Rio de Janeiro - RJ",950.000,1.562,"
                141
              ","4
","3
","2
"
"Rua Mirataia, 245 - Jacarepaguá, Rio de Janeiro - RJ",265.003,350,"
                50
              ","2
","2
","1
"
"Rua Santa Clara, 246 - Copacabana, Rio de Janeiro - RJ",870.000,900,"
                98
              ","3
","2
","1
"
"Tijuca, Rio de Janeiro - RJ",900.000,600,"
                180
              ","3
","3
","1
"
"Rua Cambuca, 134 - Higienópolis, Rio de Janeiro - RJ",165.000,210,"
                56
              ","2
","1
","--
"
"Rua Franco Zampari, 111 - Jacarepaguá, Rio de Janeiro - RJ",649.000,1.048,"
                93
              ","3
","3
","1
"
"Avenida das Américas, 500 - Barra da Tijuca, Rio de Janeiro - RJ","3.500
",,"
                82
              ","--
","1
","1
"
"Rua Joaquim Pinheiro - Freguesia- Jacarepaguá, Rio de Janeiro - RJ",745.000,800,"
                100
              ","3
","3
","2
"
"Rua Anverino Floresta de Miranda, 0 - Freguesia- Jacarepaguá, Rio de Janeiro - RJ",1.495.000,10,"
                680
              ","4
","6
","4
"
"Rua General Glicério - Laranjeiras, Rio de Janeiro - RJ",1.950.000,1.914,"
                190
              ","3
","2
","1
"
"Rua das Laranjeiras - Laranjeiras, Rio de Janeiro - RJ",900.000,770,"
                90
              ","3
","2
","--
"
"Rua Salvador de Mesquita - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",689.000,830,"
                103
              ","2
","3
","1
"
"Rua Barão do Bom Retiro, 2051 - Grajaú, Rio de Janeiro - RJ",380.000,620,"
                92
              ","2
","2
","--
"
"Rua Campinas, 42 - Grajaú, Rio de Janeiro - RJ",690.000,1.350,"
                166
              ","3
","4
","2
"
"Avenida Di Cavalcanti, 308 - Barra da Tijuca, Rio de Janeiro - RJ",3.490.000,750,"
                360
              ","4
","7
","2
"
"Rua Itacuruçá - Tijuca, Rio de Janeiro - RJ",880.000,1.370,"
                110
              ","3
","3
","1
"
"Rua Siqueira Campos - Copacabana, Rio de Janeiro - RJ",790.000,1.100,"
                95
              ","3
","1
","1
"
"Avenida Epitácio Pessoa, 2566 - Lagoa, Rio de Janeiro - RJ",1.397.000,1.050,"
                75
              ","2
","1
","1
"
"Rua Ana Teles - Campinho, Rio de Janeiro - RJ",515.000,1.274,"
                194
              ","4
","4
","2
"
"Taquara, Rio de Janeiro - RJ","450
",,"
                50
              ","2
","1
","1
"
"Rua Itaunas, 301 - Campo Grande, Rio de Janeiro - RJ",170.000,200,"
                66
              ","2
","1
","1
"
"Rua Coronel Euríco de Sousa Gomes Filho, 445 - Barra da Tijuca, Rio de Janeiro - RJ",1.150.000,1.069,"
                80
              ","2
","3
","1
"
"Avenida Henrique Dodsworth - Copacabana, Rio de Janeiro - RJ",1.900.000,1.831,"
                133
              ","3
","4
","3
"
"Avenida Prefeito Dulcídio Cardoso, 3230 - Barra da Tijuca, Rio de Janeiro - RJ",1.230.000,1.800,"
                110
              ","3
","3
","2
"
"Rua Capuri - São Conrado, Rio de Janeiro - RJ",4.900.000,2.900,"
                527
              ","4
","5
","5
"
"Rua Eduardo Pederneiras, 81 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",1.350.000,1.200,"
                300
              ","3
","1
","2
"
"Rua Eulino Nogueira, 400 - Campo Grande, Rio de Janeiro - RJ",300.839,360,"
                60
              ","2
","1
","1
"
"Rua José da Mota, 220 - Ricardo de Albuquerque, Rio de Janeiro - RJ",930.000,,"
                200
              ","3
","3
","3
"
"Tijuca, Rio de Janeiro - RJ",350.000,200,"
                66
              ","2
","2
","1
"
"Itanhangá, Rio de Janeiro - RJ",205.000,700,"
                60
              ","2
","1
","1
"
"Freguesia- Jacarepaguá, Rio de Janeiro - RJ",1.230.000,2.068,"
                219
              ","3
","4
","2
"
"Estrada Camboatá, 1958 - Guadalupe, Rio de Janeiro - RJ",180.000,,"
                120
              ","3
","1
","--
"
"Avenida Gilberto Amado, 370 - Barra da Tijuca, Rio de Janeiro - RJ",2.100.000,2.150,"
                210
              ","4
","3
","2
"
"Rua Lauro Muller - Botafogo, Rio de Janeiro - RJ","2.200
",470,"
                50
              ","1
","1
","--
"
"Rua Valparaíso, 40 - Tijuca, Rio de Janeiro - RJ",330.000,350,"
                44
              ","1
","2
","--
"
"Avenida Gilberto Amado - Barra da Tijuca, Rio de Janeiro - RJ",4.200.000,,"
                525
              ","4
","3
","2
"
"Rua Guaxima - Campo Grande, Rio de Janeiro - RJ",206.000,,"
                66
              ","2
","3
","1
"
"Rua Sá Ferreira, 154 - Copacabana, Rio de Janeiro - RJ",420.000,1.000,"
                75
              ","3
","2
","--
"
"Rua General Urquiza - Leblon, Rio de Janeiro - RJ",1.700.000,809,"
                63
              ","2
","3
","1
"
"Rua Marquês de Abrantes - Flamengo, Rio de Janeiro - RJ",720.000,730,"
                90
              ","2
","2
","--
"
"Avenida Vice-Presidente José Alencar, 1500 - Jacarepaguá, Rio de Janeiro - RJ",890.000,1.700,"
                113
              ","3
","1
","1
"
"Avenida Flamboyants da Península, 0 - Barra da Tijuca, Rio de Janeiro - RJ",1.471.000,2.057,"
                125
              ","2
","4
","2
"
"Rua Professor Hélion Povoa - Tijuca, Rio de Janeiro - RJ",1.900.000,1.800,"
                280
              ","5
","5
","3
"
"Rua General Espírito Santo Cardoso - Tijuca, Rio de Janeiro - RJ",570.000,,"
                92
              ","2
","2
","1
"
"Avenida Prefeito Mendes de Morais - São Conrado, Rio de Janeiro - RJ",3.999.000,3.153,"
                200
              ","3
","5
","2
"
"Rua Jaguaretama, 485 - Itanhangá, Rio de Janeiro - RJ","25.000
",1.700,"
                450
              ","4
","5
","--
"
"Rua General Ribeiro da Costa - Leme, Rio de Janeiro - RJ",650.000,950,"
                70
              ","2
","2
","--
"
"Avenida Borges de Medeiros, 3669 - Lagoa, Rio de Janeiro - RJ",15.000.000,3.300,"
                495
              ","4
","2
","4
"
"Guaratiba, Rio de Janeiro - RJ",790.000,,"
                153
              ","2
","2
","6
"
"Rua Padre Ildefonso Penalba - Méier, Rio de Janeiro - RJ",355.000,720,"
                65
              ","2
","2
","1
"
"Rua Aroazes, 200 - Barra da Tijuca, Rio de Janeiro - RJ",455.000,940,"
                78
              ","3
","2
","1
"
"Avenida Lúcio Costa, 2970 - Barra da Tijuca, Rio de Janeiro - RJ",2.400.000,2.240,"
                144
              ","3
","3
","2
"
"Rua Bento Lisboa, 163 - Catete, Rio de Janeiro - RJ",650.000,650,"
                70
              ","2
","1
","--
"
"Leblon, Rio de Janeiro - RJ",689.600,700,"
                42
              ","1
","1
","--
"
"Rua Sebastião Affonso Ferreira - Barra da Tijuca, Rio de Janeiro - RJ",2.850.000,1.300,"
                907
              ","--
","--
","--
"
"Rua Presidente Nereu Ramos, 265 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",899.000,890,"
                115
              ","3
","3
","2
"
"Barra da Tijuca, Rio de Janeiro - RJ",650.000,800,"
                65
              ","2
","2
","1
"
"Copacabana, Rio de Janeiro - RJ",3.350.000,1.800,"
                250
              ","3
","5
","1
"
"Rua Aires Saldanha, 136 - Copacabana, Rio de Janeiro - RJ",1.100.000,1.050,"
                120
              ","3
","2
","1
"
"Avenida Lúcio Costa - Barra da Tijuca, Rio de Janeiro - RJ",1.200.000,1.800,"
                100
              ","2
","3
","2
"
"Rua Conde de Baependi, 62 - Flamengo, Rio de Janeiro - RJ",600.000,1.870,"
                65
              ","2
","1
","1
"
"São Conrado, Rio de Janeiro - RJ",4.000.000,1.850,"
                468
              ","3
","4
","2
"
"Méier, Rio de Janeiro - RJ",684.000,,"
                100
              ","3
","4
","1
"
"Leme, Rio de Janeiro - RJ",1.150.000,1.173,"
                100
              ","3
","3
","1
"
"Todos os Santos, Rio de Janeiro - RJ",545.000,170,"
                168
              ","3
","3
","1
"
"Praça Dalva de Oliveira, 18 - Irajá, Rio de Janeiro - RJ",370.000,250,"
                80
              ","3
","2
","2
"
"Avenida Flamboyants da Península, 155 - Peninsula, Rio de Janeiro - RJ",3.150.000,2.618,"
                250
              ","4
","5
","3
"
"Rua Almirante Saddock de Sá - Ipanema, Rio de Janeiro - RJ",2.600.000,2.362,"
                135
              ","3
","3
","2
"
"Rua Dezenove de Fevereiro, 62 - Botafogo, Rio de Janeiro - RJ",1.350.000,1.500,"
                120
              ","3
","3
","2
"
"Centro, Rio de Janeiro - RJ",435.000,600,"
                68
              ","2
","2
","--
"
"Avenida Pepe, 1596 - Barra da Tijuca, Rio de Janeiro - RJ",1.690.000,2.160,"
                90
              ","2
","3
","2
"
"Rua Luís da Gra, 30 - Rocha Miranda, Rio de Janeiro - RJ",599.900,,"
                225
              ","3
","4
","4
"
"Avenida Borges de Medeiros - Lagoa, Rio de Janeiro - RJ",3.700.000,400,"
                223
              ","4
","4
","1
"
"Rua Almirante Saddock de Sá, 366 - Ipanema, Rio de Janeiro - RJ",4.500.000,3.500,"
                240
              ","4
","3
","3
"
"Rua Venceslau, 167 - Méier, Rio de Janeiro - RJ",550.000,,"
                73
              ","2
","2
","1
"
"Rua Pio Correia - Jardim Botânico, Rio de Janeiro - RJ",999.000,1.050,"
                78
              ","2
","3
","1
"
"Avenida das Américas, 289 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",495.000,1.300,"
                80
              ","2
","3
","1
"
"Avenida das Acácias da Península, 280 - Peninsula, Rio de Janeiro - RJ",1.713.000,2.453,"
                157
              ","4
","5
","2
"
"Avenida Genaro de Carvalho, 315 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",740.000,1.200,"
                200
              ","3
","4
","2
"
"Rua Visconde de Pirajá, 0 - Ipanema, Rio de Janeiro - RJ","2.500
",2.670,"
                59
              ","1
","1
","1
"
"Rua Doutor Oscar Pimentel, 99 - Tijuca, Rio de Janeiro - RJ",730.000,950,"
                129
              ","3
","1
","2
"
"Avenida Gilberto Amado, 303 - Jardim Oceanico, Rio de Janeiro - RJ",1.260.000,1.989,"
                117
              ","3
","2
","2
"
"Vargem Grande, Rio de Janeiro - RJ",1.300.000,482,"
                374
              ","3
","5
","4
"
"Copacabana, Rio de Janeiro - RJ",1.180.000,900,"
                88
              ","3
","3
","1
"
"Ipanema, Rio de Janeiro - RJ",4.900.000,1.760,"
                298
              ","4
","4
","2
"
"Anchieta, Rio de Janeiro - RJ",190.000,,"
                103
              ","3
","2
","3
"
"Rua Bartolomeu Portela, 1 - Botafogo, Rio de Janeiro - RJ",750.000,950,"
                70
              ","2
","2
","1
"
"Rua Joaquim Pinheiro, 410 - Freguesia- Jacarepaguá, Rio de Janeiro - RJ",950.000,,"
                130
              ","4
","2
","2
"
"Rua Bulhões de Carvalho - Copacabana, Rio de Janeiro - RJ",639.000,842,"
                50
              ","1
","2
","--
"
"Leblon, Rio de Janeiro - RJ",3.950.000,3.900,"
                196
              ","4
","3
","2
"
"Rua Armando Coelho de Freitas - Barra da Tijuca, Rio de Janeiro - RJ",3.000.000,1.904,"
                349
              ","4
","7
","3
"
"Rua Silvia Pozzano, 242 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",1.349.000,1.300,"
                215
              ","4
","2
","2
"
"Rua Artur Araripe, 106 - Gávea, Rio de Janeiro - RJ",1.650.000,2.500,"
                138
              ","3
","3
","1
"
"Copacabana, Rio de Janeiro - RJ",900.000,1.363,"
                100
              ","3
","1
","--
"
"Jardim Guanabara, Rio de Janeiro - RJ",800.000,400,"
                200
              ","3
","3
","2
"
"Rua Timóteo da Costa - Leblon, Rio de Janeiro - RJ","8.000
",5.513,"
                170
              ","4
","4
","2
"
"Rua Teixeira Heizer, 1965 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",640.000,950,"
                84
              ","2
","2
","1
"
"Rua Euclides da Cunha, 106 - São Cristóvão, Rio de Janeiro - RJ",260.000,290,"
                40
              ","1
","1
","1
"
"Barra da Tijuca, Rio de Janeiro - RJ",530.000,730,"
                34
              ","1
","1
","1
"
"Rua Rocha Fragoso, 19 - Vila Isabel, Rio de Janeiro - RJ",435.000,,"
                65
              ","2
","2
","1
"
"Praia da Bica - Jardim Guanabara, Rio de Janeiro - RJ",2.430.000,1.500,"
                310
              ","4
","5
","4
"
"Rua Andrade Pertence, 50 - Catete, Rio de Janeiro - RJ",690.000,600,"
                65
              ","3
","2
","--
"
"Avenida Lúcio Costa, 3360 - Barra da Tijuca, Rio de Janeiro - RJ",1.400.000,1.150,"
                96
              ","3
","3
","1
"
"Avenida das Acácias da Península - Peninsula, Rio de Janeiro - RJ",4.690.000,3.600,"
                311
              ","4
","6
","4
"
"Rua José Silva, 131 - Pechincha, Rio de Janeiro - RJ",200.000,470,"
                60
              ","2
","2
","1
"
"Rua Pinheiro Guimarães, 75 - Botafogo, Rio de Janeiro - RJ","4.000
",1.579,"
                105
              ","3
","2
","1
"
"Rua Aroazes, 420 - Barra da Tijuca, Rio de Janeiro - RJ",450.000,750,"
                66
              ","2
","2
","1
"
"Humaitá, Rio de Janeiro - RJ",700.000,1.000,"
                70
              ","2
","1
","1
"
"Avenida Lúcio Costa - Barra da Tijuca, Rio de Janeiro - RJ",2.990.000,2.300,"
                160
              ","3
","4
","2
"
"Rua Dumontina, 288 - Vargem Pequena, Rio de Janeiro - RJ",485.000,430,"
                86
              ","3
","3
","1
"
"Botafogo, Rio de Janeiro - RJ",1.150.000,1.626,"
                94
              ","3
","1
","1
"
"Tijuca, Rio de Janeiro - RJ","1.400
",650,"
                60
              ","2
","1
","--
"
"Rua Einstein - Barra da Tijuca, Rio de Janeiro - RJ",1.350.000,600,"
                152
              ","3
","4
","2
"
"Rua Alfredo Ceschiatti, 150 - Jacarepaguá, Rio de Janeiro - RJ",600.000,,"
                90
              ","2
","2
","1
"
"Avenida Nossa Senhora de Copacabana, 1085 - Copacabana, Rio de Janeiro - RJ",300.000,,"
                20
              ","--
","1
","--
"
"Avenida Lúcio Costa, 3360 - Barra da Tijuca, Rio de Janeiro - RJ",1.190.000,1.051,"
                96
              ","2
","2
","1
"
"Rua Mapendi - Taquara, Rio de Janeiro - RJ",320.000,430,"
                56
              ","2
","2
","1
"
"Rua Barão da Torre - Ipanema, Rio de Janeiro - RJ",3.700.000,,"
                150
              ","3
","4
","1
"
"Rua Marechal Pires Ferreira - Cosme Velho, Rio de Janeiro - RJ",2.750.000,2.100,"
                369
              ","4
","3
","4
"
"São Conrado, Rio de Janeiro - RJ",2.350.000,2.370,"
                147
              ","3
","2
","2
"
"Rua Aztecas, 98 - Oswaldo Cruz, Rio de Janeiro - RJ",260.000,160,"
                60
              ","2
","1
","1
"
"Rua Doutor Satamini - Tijuca, Rio de Janeiro - RJ",595.000,1.250,"
                114
              ","3
","3
","1
"
"Rua da Passagem, 167 - Botafogo, Rio de Janeiro - RJ",1.800.000,400,"
                120
              ","4
","5
","--
"
"Rua Décio Vilares - Copacabana, Rio de Janeiro - RJ",869.000,1.480,"
                80
              ","2
","1
","1
"
"Estrada dos Bandeirantes - Vargem Grande, Rio de Janeiro - RJ",265.000,400,"
                61
              ","2
","2
","1
"
"Avenida Alfredo Balthazar da Silveira - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",545.000,1.470,"
                70
              ","2
","3
","1
"
"Rua Desembargador Roberto Medeiros - Barra da Tijuca, Rio de Janeiro - RJ",4.500.000,2.200,"
                1200
              ","5
","5
","4
"
"Avenida Lúcio Costa - Barra da Tijuca, Rio de Janeiro - RJ",5.500.000,4.604,"
                249
              ","3
","5
","3
"
"Rua Visconde da Graça - Jardim Botânico, Rio de Janeiro - RJ",2.290.000,1.400,"
                123
              ","4
","3
","2
"
"Avenida Lúcio Costa, 3604 - Barra da Tijuca, Rio de Janeiro - RJ",2.100.000,2.300,"
                167
              ","4
","3
","2
"
"Rua Cupertino Durão, 173 - Leblon, Rio de Janeiro - RJ",4.600.000,2.500,"
                155
              ","4
","3
","3
"
"Rua Araxá - Grajaú, Rio de Janeiro - RJ",489.000,500,"
                116
              ","3
","2
","1
"
"Avenida José Luiz Ferraz, 250 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",650.000,1.150,"
                100
              ","3
","3
","2
"
"Avenida Vice-Presidente José Alencar, 1455 - Jacarepaguá, Rio de Janeiro - RJ",1.600.000,2.100,"
                143
              ","4
","4
","2
"
"Rua Barão de Itapagipe - Tijuca, Rio de Janeiro - RJ",280.000,558,"
                62
              ","2
","2
","1
"
"Rua Conde de Bonfim - Tijuca, Rio de Janeiro - RJ",470.000,849,"
                120
              ","3
","2
","--
"
"Estrada da Gávea - São Conrado, Rio de Janeiro - RJ",2.850.000,2.300,"
                210
              ","4
","4
","2
"
"Rua Farme de Amoedo, 149 - Ipanema, Rio de Janeiro - RJ",3.000.000,1.200,"
                200
              ","2
","3
","2
"
"Rua Sacadura Cabral, 153 - Saúde, Rio de Janeiro - RJ",2.300.000,,"
                500
              ","--
","1
","--
"
"Estrada dos Bandeirantes, 29000 - Vargem Grande, Rio de Janeiro - RJ",199.000,530,"
                48
              ","2
","1
","1
"
"Rua General Urquiza - Leblon, Rio de Janeiro - RJ",6.700.000,2.300,"
                322
              ","4
","4
","1
"
"Rua Ministro Viveiros de Castro - Copacabana, Rio de Janeiro - RJ",750.000,800,"
                85
              ","3
","2
","--
"
"Rua Comandante Rúbens Silva, 969 - Jacarepaguá, Rio de Janeiro - RJ",420.000,500,"
                65
              ","2
","2
","1
"
"Avenida Vice-Presidente José Alencar, 1515 - Jacarepaguá, Rio de Janeiro - RJ",1.280.000,1.750,"
                173
              ","3
","3
","2
"
"Avenida Meriti, 3010 - Vila da Penha, Rio de Janeiro - RJ",300.000,1,"
                52
              ","2
","2
","1
"
"Rua Pernambuco, 806 - Engenho De Dentro, Rio de Janeiro - RJ","950
",358,"
                62
              ","2
","1
","1
"
"Rua Guaxima, 30 - Campo Grande, Rio de Janeiro - RJ",206.000,,"
                100
              ","2
","3
","2
"
"Rua Carlos Palut, 426 - Taquara, Rio de Janeiro - RJ","850
",375,"
                47
              ","2
","1
","--
"
"Rua Marquês de Abrantes - Flamengo, Rio de Janeiro - RJ",420.000,710,"
                45
              ","1
","2
","--
"
"Rua Barão de Mesquita - Tijuca, Rio de Janeiro - RJ",338.000,500,"
                36
              ","1
","1
","--
"
"Avenida Genaro de Carvalho, 3840 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",470.000,670,"
                84
              ","2
","2
","1
"
"Rua Professor Valadares, 54 - Grajaú, Rio de Janeiro - RJ","1.490
",410,"
                43
              ","1
","1
","--
"
"Rua Redentor - Ipanema, Rio de Janeiro - RJ",5.000.000,2.840,"
                260
              ","5
","6
","1
"
"Avenida Vieira Souto - Ipanema, Rio de Janeiro - RJ",17.000.000,3.600,"
                292
              ","3
","4
","2
"
"Rua Caniu - Pechincha, Rio de Janeiro - RJ",480.000,500,"
                96
              ","3
","3
","2
"
"Rua Barata Ribeiro - Copacabana, Rio de Janeiro - RJ",380.000,450,"
                35
              ","1
","1
","--
"
"Rua Saint Roman, 480 - Copacabana, Rio de Janeiro - RJ",370.000,,"
                24
              ","1
","1
","--
"
"Avenida Vice-Presidente José Alencar - Jacarepaguá, Rio de Janeiro - RJ",635.000,1.100,"
                68
              ","2
","2
","1
"
"Rua Barão de Lucena - Botafogo, Rio de Janeiro - RJ",1.345.000,1.450,"
                100
              ","3
","3
","2
"
"Avenida Olegário Maciel, 45 - Barra da Tijuca, Rio de Janeiro - RJ",1.600.000,900,"
                125
              ","3
","3
","2
"
"Estrada Benvindo de Novaes - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",990.000,1.616,"
                183
              ","3
","3
","2
"
"Avenida Jaime Poggi, 99 - Barra da Tijuca, Rio de Janeiro - RJ",494.900,790,"
                77
              ","3
","2
","1
"
"Rua Gago Coutinho - Laranjeiras, Rio de Janeiro - RJ",979.000,1.280,"
                120
              ","3
","2
","1
"
"Rua Senador Generoso Ponce, 190 - Barra da Tijuca, Rio de Janeiro - RJ",4.200.000,1.590,"
                705
              ","6
","6
","3
"
"Avenida das Américas, 411 - Barra da Tijuca, Rio de Janeiro - RJ",693.000,1.100,"
                71
              ","1
","1
","1
"
"Avenida Geremário Dantas, 1389 - Freguesia- Jacarepaguá, Rio de Janeiro - RJ","500
",,"
                23
              ","--
","1
","1
"
"Avenida das Américas, 13000 - Barra da Tijuca, Rio de Janeiro - RJ",2.650.000,750,"
                348
              ","6
","8
","3
"
"Rua César Lattes, 700 - Barra da Tijuca, Rio de Janeiro - RJ",1.060.000,1.300,"
                150
              ","3
","2
","2
"
"Rua Jorge Dodsworth Martins, 430 - Barra da Tijuca, Rio de Janeiro - RJ",3.600.000,750,"
                360
              ","1
","4
","--
"
"Avenida Atlântica - Copacabana, Rio de Janeiro - RJ",798.000,400,"
                30
              ","1
","1
","--
"
"Copacabana, Rio de Janeiro - RJ","12.000
",,"
                100
              ","--
","1
","--
"
"Vila da Penha, Rio de Janeiro - RJ",720.000,,"
                73
              ","3
","2
","4
"
"Estrada Vereador Alceu de Carvalho - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",2.650.000,950,"
                360
              ","4
","5
","5
"
"Rua Omar Bandeira Ramidan Sobrinho - Recreio Dos Bandeirantes, Rio de Janeiro - RJ","3.800
",1.316,"
                150
              ","3
","3
","2
"
"Rua Fernando Magalhães, 10 - Jardim Botânico, Rio de Janeiro - RJ",5.700.000,,"
                400
              ","6
","5
","2
"
"Rua Dois de Dezembro - Flamengo, Rio de Janeiro - RJ","15.000
",,"
                210
              ","--
","--
","1
"
"Rua Uruguai - Tijuca, Rio de Janeiro - RJ",530.000,980,"
                68
              ","2
","2
","1
"
"Rua Ferreira de Andrade, 344 - Cachambi, Rio de Janeiro - RJ",386.620,670,"
                75
              ","2
","2
","1
"
"Avenida das Américas - Barra da Tijuca, Rio de Janeiro - RJ",3.500.000,950,"
                1100
              ","5
","5
","4
"
"Avenida das Américas, 12000 - Barra da Tijuca, Rio de Janeiro - RJ",2.600.000,1.200,"
                280
              ","4
","5
","2
"
"Avenida Flamboyants da Península, 900 - Barra da Tijuca, Rio de Janeiro - RJ",1.030.000,900,"
                78
              ","2
","3
","2
"
